,term,count,num_docs,label,subjectivity_max,subjectivity_min,subjectivity_mean
15216,sightseeing,1,1,['neutral'],0.1923076923076923,0.1923076923076923,0.1923076923076923
6654,frying,1,1,['neutral'],0.5,0.5,0.5
6653,fryer,1,1,['neutral'],0.625,0.625,0.625
6650,frustrating,1,1,['positive'],0.6133333333333333,0.6133333333333333,0.6133333333333333
6649,frustrated,1,1,['negative'],0.3133333333333333,0.3133333333333333,0.3133333333333333
6645,frp,1,1,['positive'],0.478125,0.478125,0.478125
15196,sianda,1,1,['neutral'],0.2916666666666667,0.2916666666666667,0.2916666666666667
6641,frothiness,1,1,['neutral'],0.38484848484848483,0.38484848484848483,0.38484848484848483
6639,frontrunner,1,1,['positive'],0.3,0.3,0.3
6637,frontlist,1,1,['positive'],0.7333333333333333,0.7333333333333333,0.7333333333333333
15200,sicker,1,1,['positive'],0.565625,0.565625,0.565625
6630,frog,1,1,['neutral'],0.0,0.0,0.0
6629,frl,1,1,['positive'],0.9,0.9,0.9
6627,frigid,1,1,['positive'],0.5333333333333333,0.5333333333333333,0.5333333333333333
6622,friendlier,1,1,['neutral'],0.4,0.4,0.4
15206,sidewall,1,1,['neutral'],0.4523809523809524,0.4523809523809524,0.4523809523809524
15208,sidoti,1,1,['neutral'],0.26,0.26,0.26
6618,freyr,1,1,['neutral'],0.0,0.0,0.0
6617,freshworks,1,1,['neutral'],0.5,0.5,0.5
6616,freshwater,1,1,['neutral'],0.5,0.5,0.5
6614,freshpet,1,1,['positive'],0.6833333333333332,0.6833333333333332,0.6833333333333332
6610,freshen,1,1,['neutral'],0.3,0.3,0.3
15212,sieve,1,1,['positive'],0.48333333333333334,0.48333333333333334,0.48333333333333334
15214,sightglass,1,1,['neutral'],0.0,0.0,0.0
6600,frenzy,1,1,['positive'],0.26999999999999996,0.26999999999999996,0.26999999999999996
6599,frenzied,1,1,['negative'],0.6333333333333333,0.6333333333333333,0.6333333333333333
15215,sightlines,1,1,['positive'],0.3416666666666667,0.3416666666666667,0.3416666666666667
6596,freighting,1,1,['negative'],0.5,0.5,0.5
6779,gamut,1,1,['positive'],0.1,0.1,0.1
6543,frack,1,1,['positive'],0.32499999999999996,0.32499999999999996,0.32499999999999996
15122,shiny,1,1,['neutral'],0.3333333333333333,0.3333333333333333,0.3333333333333333
6783,gangbusters,1,1,['neutral'],0.125,0.125,0.125
6957,giotti,1,1,['neutral'],0.0,0.0,0.0
6956,gingiva,1,1,['positive'],0.3888888888888889,0.3888888888888889,0.3888888888888889
6955,ginger,1,1,['positive'],1.0,1.0,1.0
6954,gin,1,1,['positive'],0.5,0.5,0.5
6953,gimmick,1,1,['positive'],0.5,0.5,0.5
6951,gil,1,1,['positive'],0.0,0.0,0.0
6947,gigatons,1,1,['positive'],0.14285714285714285,0.14285714285714285,0.14285714285714285
6946,gigaton,1,1,['positive'],0.14285714285714285,0.14285714285714285,0.14285714285714285
6944,gigajoule,1,1,['negative'],0.6625,0.6625,0.6625
15043,sevenfold,1,1,['neutral'],0.3,0.3,0.3
15044,sevensense,1,1,['positive'],0.6848484848484849,0.6848484848484849,0.6848484848484849
6939,giga,1,1,['neutral'],0.5311111111111111,0.5311111111111111,0.5311111111111111
15035,setter,1,1,['neutral'],0.5848484848484848,0.5848484848484848,0.5848484848484848
15045,severable,1,1,['positive'],0.3,0.3,0.3
6933,giddings,1,1,['neutral'],0.0,0.0,0.0
15052,severn,1,1,['neutral'],0.1,0.1,0.1
15053,sewer,1,1,['neutral'],0.4,0.4,0.4
6928,ghislain,1,1,['neutral'],0.0,0.0,0.0
6926,ggt,1,1,['neutral'],0.55,0.55,0.55
6925,ggr,1,1,['positive'],0.3,0.3,0.3
6923,gevo,1,1,['positive'],0.0,0.0,0.0
6921,getnet,1,1,['neutral'],0.0,0.0,0.0
6919,gestational,1,1,['positive'],0.4868686868686869,0.4868686868686869,0.4868686868686869
6917,germany,1,1,['neutral'],0.35,0.35,0.35
6916,germane,1,1,['positive'],0.3,0.3,0.3
6914,geriatric,1,1,['positive'],0.3,0.3,0.3
6936,giftables,1,1,['neutral'],0.7,0.7,0.7
6913,geothermal,1,1,['neutral'],0.1875,0.1875,0.1875
6962,giveback,1,1,['neutral'],0.5,0.5,0.5
6964,givenchy,1,1,['neutral'],0.6875,0.6875,0.6875
7019,gmr,1,1,['positive'],0.38541666666666663,0.38541666666666663,0.38541666666666663
15017,servant,1,1,['neutral'],0.4,0.4,0.4
7015,glycolic,1,1,['neutral'],0.0,0.0,0.0
7013,glycation,1,1,['neutral'],0.3666666666666667,0.3666666666666667,0.3666666666666667
7012,glutamyl,1,1,['neutral'],0.5,0.5,0.5
7007,glowing,1,1,['neutral'],1.0,1.0,1.0
7006,glow,1,1,['positive'],0.4375,0.4375,0.4375
7004,glossy,1,1,['neutral'],1.0,1.0,1.0
7003,glossary,1,1,['neutral'],0.0,0.0,0.0
7001,glory,1,1,['neutral'],0.5416666666666666,0.5416666666666666,0.5416666666666666
7000,glomerulosclerosis,1,1,['neutral'],0.0,0.0,0.0
6999,glomerulopathy,1,1,['neutral'],0.0,0.0,0.0
15032,sessionm,1,1,['positive'],0.625,0.625,0.625
6998,globus,1,1,['neutral'],0.175,0.175,0.175
6987,glitter,1,1,['neutral'],0.3125,0.3125,0.3125
6986,glioblastoma,1,1,['neutral'],0.29166666666666663,0.29166666666666663,0.29166666666666663
6984,glimmer,1,1,['negative'],0.06666666666666667,0.06666666666666667,0.06666666666666667
6982,glide,1,1,['neutral'],0.0,0.0,0.0
6978,glecaprevir,1,1,['positive'],0.95,0.95,0.95
6977,glcnacase,1,1,['neutral'],0.4,0.4,0.4
6974,glassdoor,1,1,['neutral'],0.0,0.0,0.0
15030,sesame,1,1,['neutral'],1.0,1.0,1.0
6971,glare,1,1,['positive'],0.725,0.725,0.725
6969,glance,1,1,['neutral'],0.38750000000000007,0.38750000000000007,0.38750000000000007
6968,gladstone,1,1,['neutral'],0.5,0.5,0.5
6965,giver,1,1,['neutral'],0.7125,0.7125,0.7125
15026,servicers,1,1,['negative'],0.44576719576719576,0.44576719576719576,0.44576719576719576
6911,geospatial,1,1,['neutral'],0.0,0.0,0.0
6908,geopolitics,1,1,['neutral'],0.3333333333333333,0.3333333333333333,0.3333333333333333
6904,geology,1,1,['neutral'],0.03333333333333333,0.03333333333333333,0.03333333333333333
15097,sharpen,1,1,['positive'],0.4069444444444444,0.4069444444444444,0.4069444444444444
6832,gdv,1,1,['positive'],0.49166666666666664,0.49166666666666664,0.49166666666666664
6831,gdpr,1,1,['positive'],0.2,0.2,0.2
6825,gcc,1,1,['positive'],0.38446969696969696,0.38446969696969696,0.38446969696969696
6824,gcb,1,1,['neutral'],0.5,0.5,0.5
6823,gc,1,1,['positive'],0.5,0.5,0.5
6819,gbm,1,1,['positive'],0.0,0.0,0.0
6818,gbdt,1,1,['positive'],0.7166666666666667,0.7166666666666667,0.7166666666666667
15101,shattering,1,1,['positive'],0.05625,0.05625,0.05625
6814,gbb,1,1,['neutral'],0.75,0.75,0.75
6812,gauntlet,1,1,['neutral'],0.1875,0.1875,0.1875
15103,shed,1,1,['neutral'],0.44999999999999996,0.44999999999999996,0.44999999999999996
15094,shari,1,1,['positive'],0.0,0.0,0.0
6808,gather,1,1,['neutral'],0.675,0.675,0.675
